	, ServiceMax Vendor User.txt, SolutionManager.txt, Standard.txt, StandardAul.txt, Sys Admin ReadOnly.txt, System Admin ReadOnly.txt, System Administrator Custom.txt, UnifiedSSO Profile.txt, test Profile.txt, www Profile.xml
Opportunity_Category__c,,,,,,allowCreate=true/allowRead=true/allowEdit=true/allowDelete=true/modifyAllrecords=null/viewAllRecords=true,allowCreate=true/allowRead=true/allowEdit=true/allowDelete=true/modifyAllrecords=null/viewAllRecords=true,,,
Opportunity_Snapshot__c,,,,,,allowCreate=true/allowRead=true/allowEdit=true/allowDelete=true/modifyAllrecords=null/viewAllRecords=true,allowCreate=true/allowRead=true/allowEdit=true/allowDelete=true/modifyAllrecords=null/viewAllRecords=true,,,
Order_Checklist__c,,,,,,allowCreate=true/allowRead=true/allowEdit=true/allowDelete=true/modifyAllrecords=null/viewAllRecords=true,allowCreate=true/allowRead=true/allowEdit=true/allowDelete=true/modifyAllrecords=null/viewAllRecords=true,,,
Owner_Info__c,,,,,,allowCreate=true/allowRead=true/allowEdit=true/allowDelete=true/modifyAllrecords=null/viewAllRecords=true,allowCreate=true/allowRead=true/allowEdit=true/allowDelete=true/modifyAllrecords=null/viewAllRecords=true,,,
ProductGroupConfiguration__c,,,,,,allowCreate=true/allowRead=true/allowEdit=true/allowDelete=true/modifyAllrecords=null/viewAllRecords=true,allowCreate=true/allowRead=true/allowEdit=true/allowDelete=true/modifyAllrecords=null/viewAllRecords=true,,,
Product_Sector_Configuration__c,,,,,,allowCreate=true/allowRead=true/allowEdit=true/allowDelete=true/modifyAllrecords=null/viewAllRecords=true,allowCreate=true/allowRead=true/allowEdit=true/allowDelete=true/modifyAllrecords=null/viewAllRecords=true,,,
Queued_Task__c,,,,,allowCreate=true/allowRead=true/allowEdit=true/allowDelete=true/modifyAllrecords=null/viewAllRecords=true,allowCreate=true/allowRead=true/allowEdit=true/allowDelete=true/modifyAllrecords=null/viewAllRecords=true,allowCreate=true/allowRead=true/allowEdit=true/allowDelete=true/modifyAllrecords=null/viewAllRecords=true,,allowCreate=true/allowRead=true/allowEdit=true/allowDelete=true/modifyAllrecords=null/viewAllRecords=true,
Quote,,allowCreate=true/allowRead=true/allowEdit=true/allowDelete=true/modifyAllrecords=null/viewAllRecords=false,allowCreate=true/allowRead=true/allowEdit=true/allowDelete=true/modifyAllrecords=null/viewAllRecords=false,,allowCreate=true/allowRead=true/allowEdit=true/allowDelete=true/modifyAllrecords=null/viewAllRecords=false,allowCreate=true/allowRead=true/allowEdit=true/allowDelete=true/modifyAllrecords=null/viewAllRecords=true,allowCreate=true/allowRead=true/allowEdit=true/allowDelete=true/modifyAllrecords=null/viewAllRecords=true,,,
Reference_Key__c,,,,,allowCreate=true/allowRead=true/allowEdit=true/allowDelete=true/modifyAllrecords=null/viewAllRecords=true,allowCreate=true/allowRead=true/allowEdit=true/allowDelete=true/modifyAllrecords=null/viewAllRecords=true,allowCreate=true/allowRead=true/allowEdit=true/allowDelete=true/modifyAllrecords=null/viewAllRecords=true,,allowCreate=false/allowRead=true/allowEdit=true/allowDelete=true/modifyAllrecords=null/viewAllRecords=true,
SVMXC__Installed_Product__c,,,,,,allowCreate=true/allowRead=true/allowEdit=true/allowDelete=true/modifyAllrecords=null/viewAllRecords=true,allowCreate=true/allowRead=true/allowEdit=true/allowDelete=true/modifyAllrecords=null/viewAllRecords=true,,,
SVMXC__Service_Order__c,allowCreate=false/allowRead=true/allowEdit=true/allowDelete=false/modifyAllrecords=null/viewAllRecords=false,,,,,allowCreate=true/allowRead=true/allowEdit=true/allowDelete=true/modifyAllrecords=null/viewAllRecords=true,allowCreate=true/allowRead=true/allowEdit=true/allowDelete=true/modifyAllrecords=null/viewAllRecords=true,,,
Service_Agreement__c,,,,,,allowCreate=true/allowRead=true/allowEdit=true/allowDelete=true/modifyAllrecords=null/viewAllRecords=true,allowCreate=true/allowRead=true/allowEdit=true/allowDelete=true/modifyAllrecords=null/viewAllRecords=true,,,
TC_Opp_Assoc__c,,,,,,allowCreate=true/allowRead=true/allowEdit=true/allowDelete=true/modifyAllrecords=null/viewAllRecords=true,allowCreate=true/allowRead=true/allowEdit=true/allowDelete=true/modifyAllrecords=null/viewAllRecords=true,,,
Technical_Engagement__c,,,,,,allowCreate=true/allowRead=true/allowEdit=true/allowDelete=true/modifyAllrecords=null/viewAllRecords=true,allowCreate=true/allowRead=true/allowEdit=true/allowDelete=true/modifyAllrecords=null/viewAllRecords=true,,,
User_Role__c,,,,,,allowCreate=true/allowRead=true/allowEdit=true/allowDelete=true/modifyAllrecords=null/viewAllRecords=true,allowCreate=true/allowRead=true/allowEdit=true/allowDelete=true/modifyAllrecords=null/viewAllRecords=true,,,
